publication_number,title,abstract,publication_date,filing_date,ipc_codes,assignees
CN-221071263-U,Direct drinking water circulating water sterilization device,"The utility model relates to the technical field of sterilization of direct drinking water, in particular to a sterilization device for circulating water of direct drinking water, which comprises a protection mechanism, wherein a water storage mechanism is arranged in the protection mechanism, a filtering mechanism is arranged at the output end of the water storage mechanism, a booster pump is arranged at the output end of the filtering mechanism, an RO membrane is arranged at the output end of the booster pump, and the output end of the RO membrane is fixedly connected with a sterilization mechanism; the filtering mechanism comprises a filtering box, a filter element is arranged in the filtering box, and a top cover is arranged at the top of the filtering box; the filter box comprises a box body, and an inserting block is fixedly connected inside the box body. The utility model has the advantages that: this direct drinking water circulating water sterilizing equipment can fix the filter core under the condition that carries out spacingly to the both ends of filter core, avoids appearing the skew condition when changing the filter core to avoid having some will directly ooze from the one side of filter core both ends perk under the condition that does not filter through the filter core in the raw water that gets into the filter core, thereby ensured the effect to raw water filtration sterilization.",20240604,20231009,C02F1/44,JINAN HANZHOU ELECTRONICS TECH CO LTD
CN-212733520-U,Landfill district leachate cyclic utilization device,"The utility model discloses a landfill district filtration liquid cyclic utilization device, including landfill pond and sealed lid, the bottom in landfill pond is provided with the collecting box, be equipped with the flushing pipe in the collecting box and the flushing pipe runs through the lateral wall in landfill pond and is connected with clean water installation, install a plurality of shower nozzle one on the flushing pipe, the bottom of collecting box is equipped with the one end of hob and the lateral wall swing joint of collecting box, sealed lid is connected with the pipeline with the collecting box, the one end that the hob is close to the pipeline is installed the turbine in the pipeline, the pipeline runs through sealed lid and is connected with the cloth liquid pipe of fixing on sealed lid. The utility model discloses in, the collecting box is the steel truss of frustum shape, and its up end covers has the PE membrane, and turbine rotation drives the hob and rotates when the slush pump extracts filtration liquid, and the cooperation flushing pipe prevents mud sedimentation in the filtration liquid to in time lay filtration liquid into the landfill pond, solved the interior siltation of collecting box and blocked the condition of pipeline.",20210319,20200607,C02F1/44,CHENGDU HUAXING DEAN WATER TREAT TECHNOLOGY SERVICE CO LTD
EP-3178574-A4,Methane fermentation method and methane fermentation system,,20180207,20150730,B01D61/02,"IDO KOJI,IDO YASUMASA"
US-11767240-B2,Method for removing a contaminant from wastewater from an industrial plant and a system for performing such method,"The present application relates to a method for removing a contaminant from wastewater from industrial fertilizer plant. The method comprises the steps of concentrating the wastewater, of electrolyzing the wastewater and of recirculating the electrolyzed wastewater to the fertilizer plant. The present application further relates to a system arranged to perform the method according to the present application.",20230926,20190917,C02F1/44,YARA INT ASA
CN-207546238-U,A kind of water storage container wiper mechanism of ultrafiltration apparatus,"The utility model discloses a kind of water storage container wiper mechanism of ultrafiltration apparatus, including L-shaped swivel mount, motor, gear, the gear ring being made of lateral bottom-purge arm and vertical side wall cleaning arm；The top of the side wall cleaning arm has cavity, and motor is installed in cavity, and gear is installed on the output shaft of motor, and gear ring is set to the opening inner wall of water storage container；The L-shaped swivel mount is located in water storage container；Wherein, the side wall of side wall cleaning arm and water storage container fits closely, and the bottom of bottom-purge arm and water storage container fits closely, and the free end of bottom-purge arm is articulated at the bottom centre of water storage container, and gear is engaged with gear ring.The water storage container wiper mechanism of the utility model ultrafiltration apparatus, which washes water storage container, has many advantages, such as that compact-sized, small, cleaning performance is good.",20180629,20171102,C02F1/44,ZHEJIANG ZHEDONG ENVIRONMENTAL PROTECTION TECH CO LTD
TW-I756126-B,Treatment and recycling system and method for anaerobic digestate of agriculture and animal husbandry,"A treatment and recycling system and method for anaerobic digestate of agriculture and animal husbandry can effectively treat the anaerobic digestate formed after an anaerobic digestion, so as to achieve environmental friendliness and effective utilization of resources. The treatment and recycling system for anaerobic digestate of agriculture and animal husbandry includes a solid-liquid separation system, a membrane bio-reactor system, and a reverse osmosis treatment system. The solid-liquid separation system is arranged to receive anaerobic digested sewage and then discharge a digestate sludge and digestate liquid. The digestate liquid contains organic matter and nitrogen-containing compounds. The anoxic/aerobic biological equipment of the membrane bio-reactor system receives the digestate liquid to produce treated liquid and biological sludge. A filter membrane is arranged for the treatment liquid to pass through and to be discharged from the anoxic/aerobic biological equipment. The treated liquid contains residual organic matter and residual nitrogen-containing compounds. The reverse osmosis treatment system is arranged to receive the treated liquid and discharge a recycled water and a concentrated water.",20220221,20210510,C02F1/44,EIGENGREEN INT INC
WO-2021162977-A1,Treating desalter water effluent for wash water reuse in a gosp using a ceramic nanofiltration membrane,"Systems and methods include a Gas and Oil Separation Plant (GOSP)-embedded treatment system for recycling desalter wash water. The system includes: 1) an inlet system providing an inlet stream of desalter water effluent received from at least one desalter of a source; 2) a filtering system in the GOSP including a nanofiltration (NF) membrane configured to filter the desalter water effluent to attain filtered desalter water effluent within a pre-determined wash water threshold for wash water reuse, including: partially desalinating the desalter water effluent to attain a Total Dissolved Solids (TDS) of the desalter water effluent within a pre-determined TDS threshold; and 3) a pump system configured to pump the desalter water effluent through the NF membrane and pump the filtered desalter water effluent to a supply line of the desalter.",20210819,20210208,C02F1/44,"ARAMCO SERVICES CO,SAUDI ARABIAN OIL CO"
EP-4364825-A4,Forward osmosis membrane and forward osmosis membrane module including same,,20241016,20220519,C02F1/44,ASAHI CHEMICAL IND
US-2015175447-A1,Pressurized Forward Osmosis Process and System,"A pressurized forward osmotic separation process is disclosed. Generally there are two processes described. One process involves the concentration of a target solute in the first solution; the other process involves the extraction of a solvent from a first solution both by a second solution comprising of water and soluble gas or water, soluble gas, and a compound by creating an osmotic concentration gradient across the semi permeable membrane. The first solution is under pressure from an inert gas and the second solution is under pressure from a soluble gas with equal system pressures greater than 1 atmosphere. The increase or decrease of partial pressure of the soluble gas in the second solution increases or decreases the chemical potential of the second solution to achieve different solution properties. The soluble gas may be carbon dioxide and the compound may be magnesium hydroxide.",20150625,20141217,C02F1/44,"SMITH RYAN,UNIV LEHIGH,CREIGHTON ROBERT,SENGUPTA ARUP"
CN-217323713-U,Magnesium desulfurization wastewater treatment integrated equipment,"The invention discloses a magnesium desulfurization wastewater treatment complete device, which comprises the following systems connected in sequence: the reaction tank system is used for precipitating heavy metal ions and softening a water body; the clarifying concentrator is used for separating mud from water; the aeration reaction system is used for removing COD and adjusting the pH value; and the clear water tank is used for storing and treating the wastewater reaching the standard. Aiming at the discharge characteristics of magnesium desulfurization wastewater, a reaction tank system is adopted for carrying out reactions such as neutralization, weight removal, softening, flocculation and the like, so that a large amount of heavy metal ions, fluorides and sulfides in the wastewater are removed, and calcium and magnesium ions in the wastewater are removed; then settling through a clarifying concentrator to separate mud from water; then COD degradation and pH adjustment are carried out through the aeration reactor; finally, the wastewater is discharged after meeting the discharge standard, the device is simple, the failure rate is low, and the large-scale treatment of the desulfurization wastewater generated by magnesium desulfurization is facilitated.",20220830,20211025,C02F1/44,"NANJING UNIV & YANCHENG ACADEMY OF ENVIRONMENTAL PROTECTION TECHNOLOGY AND ENGINEERING,NANHUAN YANCHENG ENVIRONMENTAL PROTECTION TECH CO LTD"
CN-118846820-A,Device and method for RO membrane performance detection and offline cleaning,"The invention discloses a device for detecting RO membrane performance and offline cleaning, which comprises a container body, wherein the interior of the container body is provided with an operation room and an equipment room, and a control center is arranged in the operation room; the water inlet pump is connected with the sand filtering system through a pipeline; the dosing system is connected with an acid tank and an alkali tank which are respectively communicated with the water tank; the container body is provided with an opening; the water tank is connected with a first security filter; the water tank is connected with an RO water supply pump, and the membrane shell is connected to a pipeline main pipe near the outlet of the water tank; the membrane shell is connected with a high-pressure pump, a booster pump and an energy recovery device; an instrument accessory is arranged on the inner pipeline; the main pipe of the pipeline is connected with and the side surface of the end cover of the membrane shell. The method for detecting the RO membrane performance and performing off-line cleaning by using the device is also provided. The device integrates the two functions of RO membrane performance detection and RO membrane offline cleaning into one device, designs a multi-section adjustable mode and a remote operation mode, expands the application range of equipment and achieves the aims of reducing cost and enhancing efficiency.",20241029,20240904,B01D61/08,SHANGHAI BAOHUI ENVIRONMENT TECH CO LTD
CA-3181873-A1,Process for purifying a phosphate containing acidic solution comprising impurities and apparatus for applying same,"The present invention concerns a process and an apparatus for purifying a phosphate containing acidic solution comprising impurities through a nanofiltration station comprising a number of nanofiltration membrane units, each comprising a retentate side and a permeate side separated by a membrane, the process comprising feeding the phosphate containing acidic solution through an entry line to a first membrane unit of n 2: 1 membrane units arranged in series, wherein a nth permeate flowing out of the nth membrane unit forms a nanofiltered phosphate solution. The gist of the present invention is the provision of at least one permeate recirculation loop, branching off the retentate side of the first membrane unit and closing the loop at the entry line to combine at least one of three permeates with the phosphate containing acidic solution.",20211223,20210614,B01D61/02,PRAYON
CN-205803063-U,A kind of anti-penetration water purifier back-end system pile-up valve,"A kind of anti-penetration water purifier back-end system pile-up valve, including pipeline, pipeline is provided with the first port, reserved port and the second port, first port and the second port are separately positioned on pipeline two ends, reserved port is arranged on pipeline, and reserved port is perpendicular to the direction, line place of the first port and the second port；Pile-up valve also includes high-voltage switch gear and running water pattern electromagnetic valve, and high-voltage switch gear is arranged between the first port and reserved port, and high-voltage switch gear is close to arrange with reserved port；Running water pattern electromagnetic valve is arranged between reserved port and the second port.The back-end system pile-up valve leakage point that this utility model provides is less, safety is higher, cost is relatively low and it is less to take design space.According to products configuration demand, can flexibly TDS probe, high-voltage switch gear, inner elements of check valve etc. be removed, to adapt to different products so that pile-up valve is more versatile and flexible, and applicable situation is more.",20161214,20160720,C02F1/44,MENRED GROUP CO LTD
CN-210179901-U,Air energy water heater with water purifier,"The utility model relates to an air can water heater technical field, and disclose the air of taking water purifier can water heater, including the evaporimeter, a compressor, condenser and filter, the condenser includes casing and water tank, the fixed intercommunication of water tank has inlet tube and outlet pipe, one side of inlet tube is equipped with the water purifier, the input of water purifier and the equal fixedly connected with connector of output, the left side of one of them connector is equipped with external water pipe, the first annular piece of the equal fixedly connected with of outer wall of two connectors, four through-holes have been seted up to the lateral wall symmetry of first annular piece, all be equipped with the spheroid in four through-holes, the lateral wall of four through-holes is the arc setting, four spheroidal center departments all are located the through-hole and set up, the outer wall movable sleeve of. The utility model discloses can purify the water source that gets into to in the water tank, prevent the production of incrustation scale, and then improve the heating effect of water tank, can be convenient for simultaneously to the installation and the dismantlement of water purifier.",20200324,20190316,C02F1/44,GUANGDONG REMEI NEW ENERGY TECH CO LTD
CN-213265846-U,Ultrapure water device capable of controlling quantitative discharging,"The utility model discloses an ultrapure water device capable of controlling quantitative discharging, which belongs to the related technical field of ultrapure water devices and comprises an ultrapure water device body, a feeding pipeline and a water pump, the front end surface of the ultrapure water device body is provided with a reverse osmosis device, the feed pipeline is connected with a water pump flange, a connecting pipeline connected with a flange is arranged between the water pump and the ultrapure water equipment body, a tank body is arranged on the left side of the ultrapure water equipment body, the tank body is communicated with the ultrapure water device body through an inner cavity of a connecting pipeline, four groups of fixedly connected supporting legs are arranged on the bottom end surface of the tank body, and every two groups of supporting legs are arranged at one side of the center of the bottom end surface of the tank body, the bottom end surface of the tank body is provided with a water outlet, and be provided with flange joint&#39;s solenoid valve at the delivery port, the utility model discloses aim at solving the problem that ultrapure water can not carry out the ration and adjust.",20210525,20200918,C02F1/44,KUNSHAN GUANGSHENGYUAN WATER TECH CO LTD
CN-107522261-A,A kind of Cutout reinforcement technology of Wrapping formed fiberglass sea water desalination membrane shell,"The invention of this reality devises a kind of Cutout reinforcement technology of Wrapping formed fiberglass sea water desalination membrane shell.In the opening of raw water mouth and concentrated water spout, reinforcement is axially done in the circular T700 carbon fibre fabrics at ± 30 ° of angles along product using fiber, the carbon fibre fabric size of lay is descending, in adjacent carbon fibre fabric after the small 10mm~20mm of the diameter once laid earlier above that once lays.The dimensions of raw water mouth and concentrated water spout is 2.5, and &#34; pressure rating 6.9MPa, 8.3MPa lays 5 layers, 7 layers of the quantity difference of carbon fiber braiding in product；The dimensions of raw water mouth and concentrated water spout is 3, and &#34; pressure rating 6.9MPa, 8.3MPa lays 8 layers, 10 layers of the quantity difference of carbon fiber braiding in product；The dimensions of raw water mouth and concentrated water spout is 4, and &#34; pressure rating 6.9MPa, 8.3MPa lays 12 layers, 15 layers of the quantity difference of carbon fiber braiding in product.",20171229,20160621,C02F1/44,HARBIN ROPV IND DEVELOPMENT CENTER
ES-2959288-T3,,,20240222,20180126,"C02F1/44,B01D61/02",US KIDNEY RES CORPORATION
CN-116022936-A,Water purification treatment device and operation method thereof,"The invention relates to a water purifying treatment device adopting a semipermeable membrane technology and an operation method thereof. The hardness concentration difference is great in the water in different regions, and current water purification treatment facilities that adopts RO membrane or NF membrane alone all are difficult to effectively correspond, propose a multistage semipermeable membrane system can effectively correspond the raw water quality of different hardness concentration, can obtain the purified water of suitable hardness concentration, improve the quality of drinking water. In the multi-section semipermeable membrane system, the removal rate of the hardness of the first section semipermeable membrane and the second section semipermeable membrane is larger than that of the hardness of the first section semipermeable membrane, and the water permeability coefficient of the second section semipermeable membrane is higher than that of the first section semipermeable membrane.",20230428,20211027,C02F1/44,TORAY ADVANCED MATERIALS RES LABORATORIES CHINA CO LTD
US-10532328-B2,Polyaniline-based chlorine resistant hydrophilic filtration membranes,"In one aspect, the invention relates to chlorine-resistant filtration membranes comprising n-alkyl substituted polyaniline derivatives for use in, for example, water purification, and methods for making and using same. This abstract is intended as a scanning tool for purposes of searching in the particular art and is not intended to be limiting of the present invention.",20200114,20150407,"C02F1/44,B01D61/02",UNIV CALIFORNIA
CN-116850792-A,Corrosion-resistant emulsion separation membrane and preparation method and application thereof,"The invention relates to a corrosion-resistant emulsion separation membrane which consists of a porous metal net and a pyrrole polymer layer coated on the surface of the metal net, wherein the pyrrole polymer layer is formed by placing the metal net in phosphoric acid solution of pyrrole monomers for electrochemical polymerization and coating on the surface of the metal net. The invention also relates to a preparation method of the corrosion-resistant emulsion separation membrane and application of the corrosion-resistant emulsion separation membrane in separating waste alkali liquid. The invention solves the problems that the traditional emulsion separation membrane has complex preparation process, can not be reused, is not corrosion-resistant and the like. The invention takes a metal net as a base material and adopts an electrochemical method to generate the polypyrrole coating. The phosphorus-oxygen group in the polypyrrole endows the surface of the separation membrane with extremely high surface energy and excellent chemical stability, so that the alkaline emulsion can be separated efficiently.",20231010,20220323,C02F1/44,PETROCHINA CO LTD
CN-109012228-A,A method of sewage is handled with titania glass web-Static Spinning composite nano-fiber membrane,"The invention discloses a kind of with titania glass web-Static Spinning composite nano-fiber membrane processing sewage method, after pretreated glass fiber mesh is sufficiently infiltrated in colloidal tio 2, vertically at the uniform velocity lifting glass fiber mesh to leaving colloid completely, the naturally dry in room temperature, ventilated environment, then high temperature sintering processing is carried out in chamber type electric resistance furnace, after cooled to room temperature, continues coating, sintering, repetitive operation obtains silica glass fibre net；Electrostatic spinning is carried out using horizontal electrostatic spinning apparatus, polymer spinning solution is extracted using syringe, is connected with syringe needle with the anode of high pressure generator, applies voltage, reception device ground connection；Immersion ultraviolet lamp tube is dipped vertically into and is fixed in the fluid reservoir equipped with sewage solution, between ultraviolet lamp tube vertically fix obtained by titania glass web and gained Static Spinning composite nano-fiber membrane, sewage is handled.",20181218,20180823,C02F1/44,ANHUI SHILI ENVIRONMENTAL PROTECTION TECH CO LTD
US-2018186718-A1,Purified terephthalic acid (pta) vent dryer vapor effluent treatment,Processes for manufacturing a purified aromatic carboxylic acid include contacting crude aromatic carboxylic acid with hydrogen in the presence of a catalyst in a hydrogenation reactor to form a purified aromatic carboxylic acid; separating vapor effluent from the purified aromatic carboxylic acid; scrubbing the vapor effluent to form a scrubber effluent; treating the scrubber effluent vapor to form a gaseous treated scrubber effluent and a liquid treated scrubber effluent; and removing at least a portion of organic impurities from the liquid treated scrubber effluent.,20180705,20171128,B01D61/02,BP CORP NORTH AMERICA INC
CN-114409117-A,White water three-stage purification system for paper-making reconstituted tobacco and purification method thereof,"The utility model provides a three-stage white water purification system and a purification method for paper-making reconstituted tobacco, and belongs to the technical field of sewage purification. A three-stage white water purification system for paper-making process reconstituted tobacco comprises a first-stage filter section, a second-stage filter section and a third-stage filter section which are sequentially arranged, wherein the first-stage filter section comprises a pulp flushing white water bucket for diluting thick white water, a water seal water tank communicated with the pulp flushing white water bucket and a first mechanical mesh type filter communicated with the water seal water tank; the second-stage filtering section comprises a dilute white water tank, a second mechanical mesh type filter and a clear water tank, wherein the dilute white water tank is communicated with the first mechanical mesh type filter; the third stage filtering section comprises a mechanical membrane filter and an ultra-clean water tank. And a method of purifying the system. The utility model has strong purification capacity, can realize the graded purification of the white water, firstly carries out one-step dilution and then carries out the next-step purification when entering the next purification system, and has strong guarantee capacity of the purification effect and strong purification stability.",20220429,20220210,C02F1/44,"LTD RESPONSIBILITY COMPANY OF TOBACCO INDUSTRY IN HUBEI,HUBEI CHINESE CIGARETTE MAT FACTORY"
CN-207158848-U,A kind of more module filters based on membrane for water treatment component,"The utility model discloses a kind of more module filters based on membrane for water treatment component.Including filter cylinder, filter cylinder both ends are respectively fixed with a buffering ring body；Buffer ring body end face with end panels to coordinate, filter cylinder includes the first end ring and the second end ring；First end ring and the second end ring are combined with some every pressure ring；It is described to be provided with second boss every pressure ring other end；Fourth annular conduit is combined with a filter membrane by a snap ring.The utility model by using the first end ring, the second end ring and it is some form multiple stage filtration system every pressure ring, set for different filter effects multigroup every pressure ring, carry out the setting of filter effect, have and have a wide range of application, flexibly, be easy to safeguard；Also, using a buffering ring body, stress elastic stress buffering is produced to the pressure differential of filter cylinder, avoids hydraulic pressure from causing stress rupture to water treatment structure.",20180330,20170616,C02F1/44,HAO JIANWEN
US-9751763-B2,Material and applications therefor,"A gel film or an isolated gel film comprising sheets of graphene or chemically converted graphene at least partially separated by a dispersion medium, such as water, and arranged in a substantially planar manner to form an electrically conductive matrix.",20170905,20110406,B01D61/02,"LI DAN,UNIV MONASH"
EP-3243562-B1,Method for improving inhibition performance of semipermeable membrane,,20220105,20160108,C02F1/44,TORAY INDUSTRIES
CN-218501731-U,Reverse osmosis membrane filter core and filtration equipment,"The application discloses a reverse osmosis membrane filter element and a filter device, which comprise at least two groups of filter units, wherein the filter units are stacked along the height direction of the filter units; wherein the filter unit comprises: the device comprises a raw water channel, a water inlet, a water outlet and a water outlet, wherein the raw water channel is provided with a raw water inlet and a concentrated water outlet; the pure water channel is communicated with the raw water channel through a water producing layer and is provided with a pure water outlet; the water producing layer is provided with a water producing channel, the water flow direction of the water producing channel is perpendicular to the water flow direction in the raw water channel, and the water flow in the raw water channel can pass through the water producing channel in a one-way mode and enter the pure water channel. The application provides a reverse osmosis filter core and filtration equipment, compare in prior art, simple structure need not to set up the center tube, and is with low costs and the filter effect is better.",20230221,20221019,"B01D61/08,C02F1/44",HUNAN KEENSEN TECH CO LTD
CN-216837176-U,Uncap structure and purifier,"The embodiment of the utility model discloses structure of uncapping for be connected with the shell of purifier, and cover the filter core, include with support, first pivot, second pivot and the apron that the shell is connected, the both ends of second pivot respectively with the support the apron rotates to be connected, the both ends of first pivot respectively with the support the apron rotates to be connected. The support is connected with the shell, and the apron rotates through first pivot and second pivot and is connected with the support, and for this reason, after opening the apron, the apron still is connected with the shell, still need not additionally look for the place and deposit the apron, and the apron is also difficult to lose simultaneously, solves opening among the prior art and laps the place and need look for and put, and the problem that the apron is easy to lose simultaneously.",20220628,20211220,C02F1/44,GUANGDONG PURE METER ELECTRICAL APPLIANCE SCIENCE AND TECH LIMITED COMPANY
