publication_number,title,abstract,publication_date,ipc_codes,assignees
AU-2019280926-B2,Separation membrane,"The purpose of the present invention is to stably maintain high separation performance of a separation membrane having a separation layer comprising a compact carbon layer. The present invention is a separation membrane having a separation layer comprising a compact carbon layer, wherein particles are attached to the compact carbon layer, recesses are present in the compact carbon layer, and the particles are at least partially stuck in the recesses.",20241114,"B01D71/02,B01D69/12",TORAY INDUSTRIES
WO-2017126504-A1,Carbon membrane for fluid separation and carbon membrane module for fluid separation,"The present invention pertains to a carbon membrane for fluid separation; i.e., a fiber-form carbon membrane for fluid separation, in which adhesion between membranes is inhibited and clogging tends not to occur when a gas mixture containing water vapor is separated, wherein protrusions having a height difference of at least 1 μm are formed on the fiber surface. The present invention also pertains to a carbon membrane module for fluid separation that includes the fibrous carbon membrane for fluid separation.",20170727,"B01D69/00,B01D71/02,B01D53/22",TORAY INDUSTRIES
EP-3396058-A1,Electret fiber sheet,The present invention allows a fiber sheet to be densely charged with electric charge and provides an electret fiber sheet that has excellent dust collecting performance. An electret fiber sheet according to the present invention is an electret fiber sheet in which averages of a* values and b* values satisfy all requirements of the following (a) to (c): (a) 10 ¤ average of (a* values) ¤ 40; (b) -25 ¤ average of (b* values) ¤ 0; and (c) -5 ¤ average of [(a* values) + (b* values)] ¤ 40; wherein a* and b* are values measured by a spectrophotometer when a red positive charge toner and a blue negative charge toner are attached.,20181031,B01D39/14,TORAY INDUSTRIES
WO-2015046430-A1,Cartridge-type hollow fiber membrane module and method for manufacturing cartridge-type hollow fiber membrane module,"A cartridge-type hollow fiber membrane module is provided with: a housing; a hollow fiber membrane bundle having a plurality of hollow fiber membranes; a first potting section which bonds the hollow fiber membranes together such that the hollow fiber membranes are opened at least at one end part of the bundle of the plurality of hollow fiber membranes; and a sealing material which fixes the first potting section to the housing in a watertight manner. The first potting section includes at least an inner layer potting section and an outer layer potting section, and the inner layer potting section and the outer layer potting section are both formed by a potting agent. The sealing material is in contact with the outer layer potting section, and both the inner layer potting section and the outer layer potting section are formed in the direction of the sealing by the sealing material. Even if steam sterilization is used, leaks and bacterial contamination due to detachment of the potting agent can be prevented.",20150402,"B01D63/00,B01D71/32,B01D71/68,B01D63/02",TORAY INDUSTRIES
US-9527042-B2,Separation membrane for water treatment and production method for same,"A separation membrane for water treatment, comprising a porous layer that is obtained by a phase separation method using a solution containing a resin and at least one of either an N,N-disubstituted isobutylamide or an N-monosubstituted isobutylamide.",20161227,"B01D71/56,B01D69/12,B01D69/06,C02F1/44,B01D63/10,B01D67/00,B01D69/08",TORAY INDUSTRIES
JP-2024142555-A,Laminated filter medium for antiviral air filter,"To solve the problem that in a conventional filter medium for an air filter, when accumulated viruses and fiber dust are re-released, they may become a source of infection, and thus it has been required to suppress these.SOLUTION: An object of the present invention is to provide a filter medium for an air filter that can collect droplet cores including viruses in air and inactivate the viruses, and can inactivate the viruses attached to the simultaneously collected fiber dust.SELECTED DRAWING: Figure 1",20241011,"B01D46/10,B01D39/14",TORAY INDUSTRIES
EP-3632527-A1,"Gas separation membrane, gas separation membrane element, gas separator, and gas separation method","The present invention pertains to a gas separation membrane comprising: a porous supporting layer; and a separation function layer disposed on the porous supporting layer and including a crosslinked aromatic polyamide obtained by polycondensation of a multifunctional aromatic amine and a multifunctional aromatic acid halide, wherein the crosslinked aromatic polyamide includes at least one of a fluorine atom bonded to an aromatic ring and a fluorine atom bonded to a nitrogen atom.",20200408,"B01D69/10,B01D71/64,B01D53/22,B01D69/12,B01D63/10",TORAY INDUSTRIES
US-2019126207-A1,Separation membrane element,"The present invention relates to a separation membrane element including: a separation membrane; and a permeate-side channel material disposed on a permeate side of the separation membrane, wherein the permeate-side channel material is a rugged sheet object having a recess and a protrusion on at least one face thereof, the rugged sheet object is composed of a porous region formed of a through-hole in a thickness direction of the rugged sheet and a non-porous region other than the porous region, and a rate of a number of the through-hole in the recess of the rugged sheet object to a total number of the through-hole present in the rugged sheet object is 80% or more.",20190502,"B01D63/10,C02F1/44",TORAY INDUSTRIES
US-9718714-B2,Separation membrane module,"A separation-membrane module  1  includes an element block  2  that is formed by arranging, in parallel, a plurality of separation-membrane elements  4  that are formed by arranging a pair of separation-membranes with their respective permeate surfaces in opposition to each other and sealing the edges of the pair of the membranes; and an aeration block  3  that includes an aeration pipe  31  and that is disposed under the element block  2 . In the element block  2 , at least one upper spacer  8  is disposed in the upper portion of each space between the adjacent separation-membrane elements  4 , and a lower spacer  9  is disposed under the upper spacer  8  in each space between the adjacent separation-membrane elements  4 . And the leftmost and the rightmost separation-membrane elements  4  of the plurality of the separation-membrane elements  4  are secured to a frame  12  at the lower spacers  9.",20170801,"B01D71/34,B01D61/18,C02F3/20,C02F1/44,B01D63/00,B01D71/30,C02F3/12,B01D65/00,B01D65/02,B01D65/08,B01D63/08,B01D71/68,B01D71/32,B01D71/62",TORAY INDUSTRIES
JP-2018071018-A,Electret fiber sheet,PROBLEM TO BE SOLVED: To provide an electret fiber sheet having high oil mist sampling performance and high oil mist resistance.SOLUTION: An oil mist-resistance electret fiber sheet is an electret fiber sheet consisted of nonconductive fiber containing perfluoroalkyl compounds. The appearance number of the perfluoroalkyl compounds for the fiber specific surface area of fiber forming the electret fiber sheet is 3×10to 15×10/m.SELECTED DRAWING: Figure 1,20180510,"B01D39/16,B01D39/14",TORAY INDUSTRIES
US-2017274325-A1,Water treatment method,"The present invention relates to a water treatment method including: a filtration step of feeding water to be treated to a membrane filtration device having loaded therein a porous separation membrane and performing filtration treatment to obtain filtrate; a discharging step of discharging the water to be treated in the membrane filtration device, which has been separated and concentrated by the porous separation membrane; and a cleaning step of cleaning the porous separation membrane by at least one treatment of physical cleaning and chemical cleaning, in which a cycle including a combination of the filtration step, the discharging step and the cleaning step is repeated multiple times, thereby obtaining filtrate. In each cycle, the filtration step and the discharging step are repeated multiple times, and the cleaning step is then carried out.",20170928,"B01D61/58,B01D69/08,B01D61/04,B01D65/02,C02F1/44,B01D61/02",TORAY INDUSTRIES
US-11154803-B2,Electret fiber sheet,"The present invention provides an electret fiber sheet having superior recovery of airflow volume by heat treatment and having high air permeability. The electret fiber sheet of the present invention is a nonwoven fabric formed from long fibers that are formed from a thermoplastic resin and have an average single fiber diameter of 0.1 to 8.0 μm, wherein a bulk density of the nonwoven fabric is 0.05 to 0.30 g/cm 3  and the long fibers contain a crystal nucleating agent at 0.005 to 1.0% by mass.",20211026,B01D39/16,TORAY INDUSTRIES
US-2022001338-A1,Porous carbon fiber and fluid separation membrane,"The present invention provides a porous carbon fiber which has an excellent permeation amount and excellent pressure resistance, which is prevented from the occurrence of detachment or cracking at an interface, and which can exhibit excellent properties needed for use as a support for a fluid separation membrane. The present invention is a porous carbon fiber having a bicontinuous porous structure, whereinthe average value Rave of the R value of the outer surface and the R value of the inside is 1.0 or more and 1.8 or less,the absolute value ΔR of the difference between the R value of the outer surface and the R value of the inside is 0.05 or less, andR value is a carbonization progression degree calculated from a Raman spectrum in accordance with the following formula:R value=(intensity of scattering spectrum at 1360 cm−1)/(intensity of scattering spectrum at 1600 cm−1).",20220106,B01D69/08,TORAY INDUSTRIES
WO-2018003943-A1,Composite semipermeable membrane and method for producing composite semipermeable membrane,"The present invention pertains to a composite semipermeable membrane comprising a support film including a substrate and a porous support layer, and a separation functional layer disposed on the porous support layer, said separation functional layer containing a crosslinked polyamide and a hydrophilic polymer that is a polymerized product of a monomer having an ethylenically-unsaturated group, and the ratio (the O/N ratio) of the atomic number of oxygen atoms to the atomic number of nitrogen atoms on the surface of the separation functional layer, measured by an X-ray photoelectron spectroscopy, is 1.5 or more and 10 or less, and the standard deviation of the ratio is 0.15 or more.",20180104,"B01D71/56,B01D69/10,B01D69/12,B01D71/82,B01D69/02",TORAY INDUSTRIES
EP-3103886-B1,Method for producing sugar solution,,20210929,"B01D61/14,B01D65/06,B01D61/02",TORAY INDUSTRIES
CN-215798781-U,Water purification system,"The water purification system is provided with: a faucet provided in a kitchen and a reverse osmosis membrane water purifier provided below a kitchen sink are connected in this order from the upstream side of a water flow to an activated carbon unit containing activated carbon, a reverse osmosis membrane unit containing a reverse osmosis membrane, and a hollow fiber membrane unit containing a hollow fiber membrane, the hollow fiber membrane unit being composed of a lower case having an inlet through which water flows in, an upper case having an outlet through which water flows out, and a hollow fiber membrane module fixed to an internal space formed by the lower case and the upper case, the hollow fiber membrane module being composed of a module case having an outer peripheral surface with a plurality of openings communicating with the inlet of the lower case and having a substantially cylindrical shape, and a hollow fiber membrane bundle fixed to the module case by an adhesive and contained in the internal space of the module case, the inlet of the lower case of the hollow fiber membrane unit facing the lower side in the vertical direction, The outlet of the upper casing is arranged to face upward in the vertical direction.",20220211,"C02F1/28,C02F9/02,C02F103/02,C02F1/50,C02F1/44,C02F9/04",TORAY INDUSTRIES
JP-2022014436-A,"Separation film module, and method for producing hydrogen","To provide a separation film module that three-dimensionally controls the flow of supply fluid and achieves increased disorder of the fluid.SOLUTION: A separation film module has a central tube, a separation film, a transmission side channel material, and a plurality of projections. The projections are located on the supply side face of the separation film, and the projections include a plurality of projections having different height.SELECTED DRAWING: Figure 1",20220119,B01D63/10,TORAY INDUSTRIES
KR-20190096347-A,,,20190819,"B01D69/10,B01D71/56,B01D71/40,B01D69/12",TORAY INDUSTRIES
KR-20180121778-A,,,20181108,B01D39/16,TORAY INDUSTRIES
EP-3357563-A4,"Separation film, cellulose-based resin composition, and method for manufacturing separation film",,20190619,"B01D69/00,B01D69/08,B01D71/18,B01D71/12",TORAY INDUSTRIES
AU-2013300498-A1,Method for producing sugar solution,"A method for producing a sugar solution by filtering a cellulose-derived sugar solution through one or more separation membranes selected from an ultrafiltration membrane, a nanofiltration membrane, and a reverse-osmosis membrane, wherein separation membranes which are dirty as a result of the filtration are cleaned using a cleaning fluid containing an acidic substance and an aromatic compound. As a result, it is possible to effectively clean dirty separation membranes.",20150212,"B01D61/58,B01D65/06,B01D61/04,B01D61/14,B01D61/02",TORAY INDUSTRIES
US-10658639-B2,"Method of preparing microporous membrane, microporous membrane, battery separator, and secondary battery","A polyolefin microporous membrane has excellent strength, permeability and heat resistance, which is obtained by using UHMwPE and employing a sequential stretching system, and a production method of the microporous membrane. In producing a microporous membrane by using a primary material A having a molecular weight (Mw) of less than 1.0×106, a secondary material B having a molecular weight of 1.0×106 or more, and a plasticizer, when the endothermic quantity of a mixture of the primary material and the plasticizer and the endothermic quantity of a mixture of the secondary material and the plasticizer are denoted as Q1 and Q2, respectively, respective resins are designed such that the ratio of endothermic quantity Q2 to endothermic quantity Q1 (endothermic quantity Q2/endothermic quantity Q1) becomes 1 or more over a temperature range of 110 to 118° C.",20200519,"B01D69/02,B01D67/00,B01D63/08,B01D71/26",TORAY INDUSTRIES
US-2021001282-A1,Composite semipermeable membrane and composite semipermeable membrane element,"By having a coating layer, this composite semipermeable membrane has fouling resistance easily maintainable before and after contact with acid, and enables stable operation over a long period of time. This composite semipermeable membrane comprises a porous support layer, a separation function layer arranged on the porous support layer, and a coating layer arranged on the separation function layer, wherein the separation function layer contains a crosslinked aromatic polyamide which is a polycondensate of polyfunctional aromatic amines and polyfunctional aromatic acid chloride, and the coating layer contains an aliphatic polymer having the structure (I) in the description.",20210107,"B01D69/02,B01D71/56,B01D69/12,B01D67/00",TORAY INDUSTRIES
DK-2371973-T3,A process for preparing a sugar liquid,,20150420,B01D61/02,TORAY INDUSTRIES
CA-2879546-C,Method for producing sugar solution,"A method for producing a sugar solution by filtering a cellulose-derived sugar solution through one or more separation membranes selected from an ultrafiltration membrane, a nanofiltration membrane, and a reverse-osmosis membrane, wherein separation membranes which are dirty as a result of the filtration are cleaned using a cleaning fluid containing an acidic substance and an aromatic compound. As a result, it is possible to effectively clean dirty separation membranes.",20190917,"B01D61/02,B01D65/06,B01D61/04,B01D61/14,B01D61/58",TORAY INDUSTRIES
WO-2023027052-A1,"Hollow fiber microporous membrane, and gas separation membrane module with same built thereinto","[Problem] To provide a high-quality hollow fiber microporous membrane that is concurrently provided with high levels of gas permeability, gas selectivity, and strength. The present invention is characterized by a hollow fiber microporous membrane wherein the carbon dioxide gas flux is 10×10–5 to 200×10–5 (cm3(STP)/cm2/sec/cmHg), the value (carbon dioxide gas flux/nitrogen gas flux) that results from dividing the carbon dioxide gas flux value by the nitrogen gas flux value (cm3(STP)/cm2/sec/cmHg) is 1.3 or greater, and the tensile strength is 0.5 cN/dtex or greater.",20230302,"B01D69/02,B01D69/08",TORAY INDUSTRIES
WO-2020122151-A1,Power generation system,"The present invention addresses the problem of reducing the introduction of impurities into a gas in a power generation system. This power generation system purifies an anode gas using a separation membrane comprising any of a polyamide, graphene, a metal-organic framework (MOF), and a covalent organic framework (COF), and then feeds the product to a negative electrode.",20200618,"B01D71/56,B01D69/10,B01D69/12,B01D63/10,B01D69/02,B01D53/22",TORAY INDUSTRIES
CN-108884433-A,Utilize the filter method for the microbial culture medium that membrane module carries out,"It the present invention relates to the use of the filter method of the microbial culture medium of membrane module progress, its cross-flow filtration for including (a) microbial culture medium, (b) it washes, (c) medical fluid cleans, (d) four processes washed, total sugar concentration through aforementioned cross-flow filtration through the filtrate of membrane module is 1000mg/L or more 100000mg/L or less, protein concentration is 50mg/L or more 1000mg/L or less, foregoing sequence c has the step of (c-1) is cleaned with the medical fluid containing hypochlorite and nonionic surface active agent, and it is sequentially repeated foregoing sequence a~d.",20181123,"B01D71/32,B01D69/00,B01D65/06",TORAY INDUSTRIES
JP-2017133133-A,"Nonwoven fabric for substrate, and method of producing the same","PROBLEM TO BE SOLVED: To provide a nonwoven fabric for a substrate which has high strength, good processability when coating with a resin, excellent adhesiveness of the resin even if only a surface layer is coated with the resin, and in which resin peel-off does not occur when cutting.SOLUTION: The nonwoven fabric comprises a fiber composed of a thermoplastic resin as a principal constituent, has an arithmetical average height of a plane of at least one surface of 3-10 μm measured in accordance with ISO25178, a porosity of a non-pressed part of 50-85%, and a thickness-varying ratio of high loading (200 kPa load) to low loading (2 kPa load) of not greater than 20%. The emboss press-bonding ratio is preferably 3-40%, the average single fiber diameter is further preferably 1-20 μm, and the nonwoven fabric is preferably a spun bond fiber composed of a continuous fiber.SELECTED DRAWING: None",20170803,B01D63/00,TORAY INDUSTRIES
WO-2024247796-A1,Porous hollow fiber membrane and blood purification module,"The purpose of the present invention is to provide a porous hollow fiber membrane capable of reducing the amount of blood drawn out while maintaining safety in, for example, blood purification application, by maximizing the inner surface area per volume of the porous hollow fiber membrane. The present invention provides a porous hollow fiber membrane which contains a hydrophilic polymer, and in which the shape of the outline of the inner surface in a cross-section perpendicular to the longitudinal direction is irregular, and IDi, which represents the diameter (μm) of an inscribed circle of the outline of the inner surface, and IDo, which represents the diameter (μm) of a circumscribed circle of the outline of the inner surface, satisfy the relationships of 95≤IDi≤1500, 100≤IDo≤1600, and 1.05≤IDo/IDi≤1.60.",20241205,"B01D71/06,B01D63/02,B01D69/08,B01D71/68",TORAY INDUSTRIES
JP-2021184984-A,Separation membrane element,"To provide a separation membrane element that restrains concentration polarization while reducing flow resistance of a supply-side flow passage and further increases a filling membrane area per element.SOLUTION: A separation membrane element includes a catchment pipe, a separation membrane, a supply-side flow passage material 2 and a permeation-side flow passage material. The supply-side flow passage material is positioned between two surfaces of the separation membrane to form a supply-side flow passage. The supply-side flow passage material is in the form of net in which fibrous row X made of a plurality of fibrous materials A21 arranged in one direction and a fibrous row Y made of a plurality of fibrous materials B22 arranged in a direction different from the fibrous row X intersect with each other three-dimensionally to form intersections. At least one of the fibrous material A and the fibrous material B is made of a yarn with a smaller diameter than at least one large diameter part in a central part R2 between an intersection part P1 of the fibrous row X and the fibrous row Y in a vertical cross section parallel to an arbitrary fibrous row, with a supply-side flow passage area ratio being in a range of 50-65%.SELECTED DRAWING: Figure 3",20211209,B01D63/00,TORAY INDUSTRIES
JP-2024152172-A,Recycled composite semipermeable membrane and element,To provide a composite semipermeable membrane which can reduce a CO2 emission amount.SOLUTION: A composite semipermeable membrane is produced from a support membrane containing recycled polysulfone.SELECTED DRAWING: Figure 1,20241025,"B01D69/10,B01D71/68,B01D69/12,B01D63/10",TORAY INDUSTRIES
EP-2175029-B1,Lactic acid production method,,20201007,"B01D61/02,B01D61/14,B01D71/56",TORAY INDUSTRIES
EP-3424587-A4,"Flat-sheet separation membrane element, element unit, flat-sheet separation membrane module, and operation method for flat-sheet separation membrane module",,20191023,"B01D69/06,B01D65/02,B01D65/08,B01D69/10,B01D63/16,C02F1/44,B01D63/08",TORAY INDUSTRIES
EP-3769836-B1,Carrier for adsorbing organic matter,,20220622,B01D15/00,TORAY INDUSTRIES
CN-205419962-U,Water purifying filter cartridge,"An object of the utility model is to provide a compact water purifying filter cartridge that loss of pressure is lower and the filter capacity is higher who just filters piece portion. Water purifying filter cartridge restraints and filters with the powder at the inside cavity cortina of taking in in the space that is become by shell and tectiform, aforementioned shell is distolateral under to have the raw water entry and exports with the water purification, aforementioned lid seals the upper end of aforementioned shell, a serial communication port, aforementioned cavity cortina is restrainted by the sealed lower extreme that is fixed in aforementioned inner tube, and held in aforementioned inner tube, aforementioned powder filters the piece to be held in by aforementioned inner tube, the urceolus, the accommodation space of the roughly tube -shape that upper wall and lower wall formed, the upper end of aforementioned inner tube is located the position of aforementioned inner surface of the cover&#39;s tight below, can restraint the surface of side from the surface of the aforementioned shell -side of aforementioned urceolus to the aforementioned cavity cortina of aforementioned inner tube, footpath at water purifying filter cartridge upwards leads to water.",20160803,C02F9/02,TORAY INDUSTRIES
WO-2015087702-A1,Multilayer separation membrane,"The purpose of the present invention is to provide a multilayer separation membrane which is excellent in terms of removal of suspended matter contained in water and adsorptive removal of metal ions. This multilayer separation membrane comprises a porous adsorption layer substantially constituted of a polymer having a chelating functional group and a porous clarification layer, the porous clarification layer being disposed nearer to the raw-water side than the porous adsorption layer.",20150618,"B01D69/10,B01D69/12,B01D69/02,C02F1/28",TORAY INDUSTRIES
WO-2017150585-A1,Layered semipermeable membrane,The present invention relates to a layered semipermeable membrane satisfying the conditions below. (A) The maximum peak intensity between 3700 and 2900 cm -1  is 0.08 or greater in the difference spectrum between an IR spectrum measured at 25°C and 97% relative humidity and an IR spectrum measured at 25°C and 3% relative humidity. (B) The peak top wavenumber between 3700 and 2900 cm -1  of the aforementioned difference spectrum is 3400 cm -1  to 3550 cm -1 . (C) The N1s peak has a maximum value at 401 eV or greater in X-ray photoelectron spectroscopy in which X-rays are radiated to a coat layer.,20170908,"B01D69/10,B01D67/00,B01D71/56,B01D71/82,B01D71/40,B01D69/12",TORAY INDUSTRIES
EP-3398674-B1,Hollow fiber membrane module and method for operating same,,20230215,"B01D67/00,B01D65/02,B01D69/08,B01D63/02,B01D65/08,B01D69/02,C02F1/44,B01D71/34",TORAY INDUSTRIES
CA-2946527-A1,Hollow fiber membrane module and manufacturing method thereof,"The purpose of the present invention is to provide a hollow fiber membrane module in which a hollow fiber membrane is embedded, wherein the hollow fiber membrane includes a polysulfone polymer and a hydrophilic polymer, the hollow fiber membrane satisfies (A) and (B), and the amount of an effluent contained in a liquid obtained by circulating, for four hours at 200mL/min, super-pure water which was heated to 37°C is no more than 1.0mg/m2, such circulation being carried out in a flow path on an inner surface of the hollow fiber membrane. (A) An insoluble element when the hollow fiber membrane is dissolved in N,N-dimethylacetamide is less than 3 mass% of the total mass% of the hollow fiber membrane. (B) In a humid state, a flexible layer exists on the surface of a functional layer of the hollow fiber membrane, and the thickness of the flexible layer is at least 7nm. The present invention provides a hollow fiber membrane module in which embedded is a hollow fiber membrane that includes a polysulfone polymer and a hydrophilic polymer. The hollow fiber membrane module is configured so that changes in functionality due to hydrophilic polymer crosslinking are suppressed, there is little effluent, and biocompatibility is high.",20151112,"B01D71/44,B01D71/38,B01D63/02,B01D65/02,B01D71/52,B01D69/08,B01D71/40,B01D71/68,B01D69/02",TORAY INDUSTRIES
CN-111491720-A,"Gas separation membrane, gas separation membrane element, and gas separation method","The invention provides a gas separation membrane and the like which can be continuously used. The present invention provides a gas separation membrane, comprising: a porous support film containing an aromatic polyamide containing an aromatic ring substituted with a chlorine group; and a separation functional layer that is provided on the surface of the porous support membrane and contains a crosslinked polyamide obtained by polycondensation of a polyfunctional amine and a polyfunctional acid halide.",20200804,"B01D63/10,B01D71/56,B01D69/10,B01D53/22,B01D69/12",TORAY INDUSTRIES
EP-3238813-A4,Separation membrane element,,20180711,"B01D63/00,B01D63/10",TORAY INDUSTRIES
EP-2745919-A4,Composite semipermeable membrane,,20150624,"B01D69/10,B01D71/56,B01D69/12",TORAY INDUSTRIES
KR-20190131503-A,,,20191126,"C02F1/44,B01D69/08,B01D67/00,B01D71/14",TORAY INDUSTRIES
BR-112017017937-A2,,,20180626,"B01D65/06,B01D65/02,B01D61/14",TORAY INDUSTRIES
US-2024278184-A1,Composite semipermeable membrane,"The present invention relates to a composite semipermeable membrane including: a support membrane; and a separation functional layer provided on the support membrane, in which the separation functional layer includes a thin membrane, the thin membrane has a fold structure including a plurality of protrusions having a height of 10 nm or more, and in the fold structure, a ratio (T100/T25) is less than 0.95, where T25 is a thickness of the thin membrane in a region of 0% to 25% of the height of the protrusion and T100 is a thickness of the thin membrane in a region of 50% to 100% of the height of the protrusion.",20240822,"B01D69/02,B01D71/56,C02F1/44,B01D69/10,C02F103/08",TORAY INDUSTRIES
MY-197959-A,Carbon membrane for fluid separation and method for manufacturing same,"The present invention provides a carbon membrane for fluid separation that can suppress the breakage of a carbon membrane installed in a separation module during a vacuum desorption step before permeation of a fluid or during permeation of a fluid. The present invention provides a carbon membrane for fluid separation including a porous carbon support and a dense carbon layer provided on the porous carbon support, wherein the porous carbon support has an R? value of 1.0 or less, where the R? value is an R value (peak intensity of D-band (1360 cm??)/peak intensity of G-band (1580 cm??)) calculated from a Raman spectrum.",20230725,"B01D69/08,B01D71/02,B01D69/10,B01D69/12",TORAY INDUSTRIES
WO-2016136966-A1,Composite semipermeable membrane,"The purpose of the present invention is to provide a composite semipermeable membrane which maintains its performance at high temperature under high pressure and has high water permeability. This composite semipermeable membrane is provided with a substrate, a porous support layer disposed on the substrate, and a separation functional layer disposed on the porous support layer, wherein the separation functional layer contains a crosslinked wholly aromatic polyamide as a main component and has a wrinkled structure provided with protrusions and recesses. When the surface of the separation functional layer is observed in pure water by using atomic force microscopy, at least 40% of the protrusions have a deformation of 2.5 nm or less when pushed with a force of 5 nN, the median height of the protrusions is 100 nm or more, and the thickness of the separation functional layer in the protrusions is 20 nm or less.",20160901,"B01D69/12,B01D69/00,B01D71/56,B01D69/10",TORAY INDUSTRIES
TW-201731582-A,Flow path material,"The problem addressed by the present invention is to provide a flow path material that, when incorporated as a liquid separation membrane module, can assure a salt elimination rate for a separation membrane and can have a thin thickness even if high pressure from a supply side via a reverse osmosis separation membrane is applied. Provided is a flow path material that is used for a liquid separation membrane module, comprising a tricot knitted fabric formed of synthetic fiber, wherein the tricot knitted fabric forms protruding parts with double loops, and a long side length for an opening part formed on the inside surface side of the double loops is 50 - 260 [mu]m. Also provided is a liquid separation membrane module that has at least a reverse osmosis separation membrane and the flow path material wrapped around a center pipe.",20170916,B01D61/02,TORAY INDUSTRIES
JP-2022128626-A,Water treatment system and water treatment method,"To perform advanced treatment in water treatment using a reverse osmosis membrane at a low cost.SOLUTION: Single membrane separation means 1 separates supply water into permeated water and solute-enriched water by a reverse osmosis membrane. A raw water tank 2 is supplied with the supply water and all or a part of the solute-enriched water. A plurality of storage tanks 3 are supplied with all or a part of the permeated water or the solute-enriched water. A switching mechanism 6 switches water supply of water flow from the raw water tank 2 or one storage tank 3 to the membrane separation means 1, water supply of the permeated water from the membrane separation means 1 to another storage tank 3, or water supply of the solute-enriched water from the membrane separation means 1 to another storage tank 3.SELECTED DRAWING: Figure 1",20220905,"C02F1/44,B01D61/02",TORAY INDUSTRIES
EP-3064266-B1,Separation membrane element,,20200415,"B01D63/00,B01D63/10,B01D69/12",TORAY INDUSTRIES
JP-2020069435-A,"Surface modifier, surface modification method, and surface-modified separation membrane","To provide a surface modifier excellent in stability to a pharmaceutical, capable of achieving excellent fouling resistance over a long period; and to provide a surface modification method.SOLUTION: A surface modifier, which is a surface modifier for a water treatment separation membrane, includes some structure between polyvinyl alcohol, polyvinyl pyrrolidone, polyvinyl acetate and polyalkylene oxide, and further includes at least one active ester structure.SELECTED DRAWING: None",20200507,"B01D71/38,B01D71/56,B01D69/12,B01D69/10,B01D71/52,B01D71/00,C02F1/44,B01D71/40,B01D71/44",TORAY INDUSTRIES
EP-3329986-A1,"Separation membrane, separation membrane element, water purifier and method for producing separation membrane","An object of the present invention is to provide a separation membrane having high permeability and selective removability of divalent/monovalent ions. The separation membrane of the present invention includes a supporting membrane and a separation functional layer formed on the supporting membrane, in which the separation functional layer contains a polymerized product of a polyfunctional amine with a polyfunctional acid halide, the polyfunctional amine contains a polyfunctional aliphatic amine as a main component, the separation functional layer has a hollow protuberant structure, and the separation functional layer has a relative surface area of 1.1-10.0.",20180606,"B01D69/12,B01D71/56,B01D69/10",TORAY INDUSTRIES
US-2020246759-A1,"Separation film, cellulose-based resin composition, and method for producing separation film","The problem to be solved by the present invention is to provide a separation film mainly comprising a cellulose-based resin having high permeability. The present invention pertains to a separation film containing a cellulose ester, wherein the separation film is provided with a bicontinuous structure comprising voids and phases containing the cellulose ester, and the width of the voids is 1 to 200 nm inclusive.",20200806,"B01D71/12,B01D69/08,B01D69/00,B01D71/18",TORAY INDUSTRIES
ES-2953552-T3,,,20231114,"B01D71/68,B01D67/00,B01D71/76,B01D69/08",TORAY INDUSTRIES
US-2021362101-A1,Filter material,"A filter material that contains a non-woven fabric is provided. When the amount of deformation of the filter material is 10 mm, its three-point bending strength is 2.0 MPa or greater.",20211125,"B01D39/16,B01D53/22,B01D71/36,B01D69/10",TORAY INDUSTRIES
CN-112424410-A,Spun-bonded nonwoven fabric and air filter composed of spun-bonded nonwoven fabric,"The purpose of the present invention is to provide a spunbonded nonwoven fabric that has a low pressure loss, high trapping performance, and excellent processability, and an air filter that uses the spunbonded nonwoven fabric, wherein the spunbonded nonwoven fabric is composed of fibers that contain a polyolefin resin, has an average filament diameter of 6.5 [ mu ] m or more and 22.0 [ mu ] m or less, contains 0.1 mass% or more and 5 mass% or less of a hindered amine compound represented by the following general formula (1), has a Melt Flow Rate (MFR) of 32g/10 minutes or more and 850g/10 minutes or less, and is electret-processed.",20210226,"B01D39/14,B01D39/16",TORAY INDUSTRIES
HU-E066452-T2,Porous hollow-fiber membrane and production process therefor,,20240828,"B01D69/08,B01D71/34,B01D67/00,B01D69/02,B01D71/32",TORAY INDUSTRIES
WO-2023058548-A1,Method for recovering monovalent metal ions,"To obtain a high-purity monovalent metal ion recovery solution at a high recovery rate using a nanofiltration membrane and a reverse osmosis membrane from a solution in which monovalent metal ions and polyvalent metal ions are contained, the present invention provides a method for recovering monovalent metal ions from a solution containing monovalent metal ions and polyvalent metal ions using a nanofiltration membrane unit and reverse osmosis membrane unit, the method comprising: (a) concentration multi-stage NF step for supplying a concentrate of an nth nanofiltration membrane unit to an (n+1)th nanofiltration membrane unit using first to Nth nanofiltration membrane units, where N is an integer constant equal to or greater than 2 and n is an integer equal to or greater than 1 and no greater than (N-1), thereby performing multi-stage nanofiltration in a concentration direction DNF; (b) an RO step for using the reverse osmosis membrane unit to obtain, from a permeate of the first nanofiltration membrane unit, an RO permeate and an RO concentrate containing a higher concentration of monovalent metal ions than the RO permeate; (c) an NF supply solution dilution step for mixing a permeate of the (n+1)th nanofiltration membrane unit with a supply solution of any nanofiltration membrane unit located upstream of the (n+1)th nanofiltration membrane unit; and (d) a step for mixing a permeate of the reverse osmosis membrane unit with a supply solution of the Nth nanofiltration membrane unit.",20230413,"B01D63/10,B01D69/02,B01D61/02,B01D63/12,C02F1/44,B01D61/58",TORAY INDUSTRIES
